URL,DURATION,IP_ADDRESS,GEOLOCATION,LANGUAGES
http://paulgraham.com,0.98s,52.4.160.184,Virginia,{}
-- http://paulgraham.com/books.html,0.63s,52.204.244.237,Virginia,"{""Lisp"": 4}"
-- http://paulgraham.com/faq.html,0.64s,52.204.244.237,Virginia,"{""Lisp"": 1}"
-- http://paulgraham.com/bio.html,0.63s,52.204.244.237,Virginia,"{""Lisp"": 3}"
-- http://paulgraham.com/raq.html,0.62s,52.204.244.237,Virginia,"{""Lisp"": 5, ""Perl"": 1, ""Python"": 1}"
-- http://paulgraham.com/arc.html,0.60s,52.204.244.237,Virginia,"{""Lisp"": 2}"
-- http://paulgraham.com/articles.html,0.67s,52.204.244.237,Virginia,"{""Python"": 1, ""Lisp"": 6, ""Java"": 1}"
-- http://paulgraham.com/superlinear.html,0.65s,52.204.244.237,Virginia,{}
-- http://paulgraham.com/kedrosky.html,0.64s,52.204.244.237,Virginia,{}
-- http://paulgraham.com/greatwork.html,0.90s,52.204.244.237,Virginia,{}
https://www.benkuhn.net,0.23s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/gradual/,0.21s,13.224.250.9,Singapore,"{""Python"": 4, ""Java"": 4, ""Ruby"": 1}"
-- https://www.benkuhn.net/giving-2018/,0.20s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/focustools/,0.22s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/skinner/,0.22s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/hard/,0.22s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/weeklyessays/,0.21s,13.224.250.9,Singapore,"{""Go"": 1}"
-- https://www.benkuhn.net/listen/,0.21s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/impatient/,0.22s,13.224.250.9,Singapore,{}
-- https://www.benkuhn.net/leaving/,0.45s,13.224.250.9,Singapore,{}
https://danluu.com,0.24s,104.21.34.43,California,"{""Assembly"": 1}"
-- https://danluu.com/butler-lampson-1999/,0.16s,104.21.34.43,California,"{""Rust"": 1, ""Haskell"": 1, ""C"": 5, ""Java"": 1, ""Perl"": 1, ""PHP"": 2, ""Python"": 2, ""Ruby"": 2, ""JavaScript"": 2, ""Go"": 1}"
-- https://danluu.com/perf-tracing/,0.22s,104.21.34.43,California,{}
-- https://danluu.com/simple-architectures/,0.21s,104.21.34.43,California,"{""Python"": 9, ""C"": 4}"
-- https://danluu.com/concurrency-bugs/,0.21s,104.21.34.43,California,"{""C"": 12, ""Java"": 2}"
-- https://danluu.com/metrics-analytics/,0.27s,104.21.34.43,California,{}
-- https://danluu.com/futurist-predictions/,0.26s,104.21.34.43,California,"{""Lisp"": 1, ""Java"": 1, ""C"": 8}"
-- https://danluu.com/monorepo/,0.27s,104.21.34.43,California,"{""C"": 2}"
-- https://danluu.com/tracing-analytics/,0.27s,104.21.34.43,California,"{""C"": 11}"
-- https://danluu.com/atom.xml,0.86s,104.21.34.43,California,"{""Go"": 21, ""C"": 708, ""Lisp"": 47, ""Java"": 153, ""Python"": 48, ""Ruby"": 26, ""Haskell"": 24, ""Shell"": 3, ""Rust"": 20, ""Dart"": 7, ""PHP"": 9, ""Perl"": 28, ""JavaScript"": 11, ""Lua"": 1, ""TypeScript"": 9, ""Groovy"": 8, ""OCaml"": 1, ""Assembly"": 4}"
https://emptysqua.re/blog/,0.18s,52.74.166.77,Singapore,"{""Python"": 4, ""C"": 2}"
-- https://emptysqua.re/blog/ordinary-zen/,0.13s,52.74.166.77,Singapore,"{""JavaScript"": 1}"
-- https://emptysqua.re/blog/rip-shirley/,0.15s,52.74.166.77,Singapore,"{""JavaScript"": 1}"
-- https://emptysqua.re/blog/you-look-so-zen/,0.37s,52.74.166.77,Singapore,"{""C"": 2, ""JavaScript"": 1}"
-- https://emptysqua.re/blog/extreme-modelling-in-practice/,0.39s,52.74.166.77,Singapore,"{""C"": 6, ""Python"": 1, ""JavaScript"": 1}"
